freq,psd_x,psd_y,psd_z,psd_xyz
145.8,7.402e+02,4.654e+02,8.909e+02,2.097e+03
147.3,6.803e+02,5.067e+02,1.250e+03,2.437e+03
148.8,7.492e+02,5.443e+02,1.606e+03,2.899e+03
150.3,6.244e+02,5.190e+02,1.606e+03,2.750e+03
151.8,3.670e+02,5.852e+02,1.584e+03,2.536e+03
153.3,2.218e+02,6.743e+02,1.774e+03,2.670e+03
154.8,1.628e+02,6.677e+02,2.035e+03,2.865e+03
156.3,1.265e+02,6.361e+02,2.397e+03,3.160e+03
157.7,1.275e+02,6.868e+02,2.929e+03,3.743e+03
159.2,1.535e+02,8.094e+02,3.462e+03,4.425e+03
160.7,1.608e+02,9.200e+02,3.663e+03,4.744e+03
162.2,1.588e+02,9.657e+02,3.516e+03,4.640e+03
163.7,1.826e+02,1.047e+03,3.744e+03,4.973e+03
165.2,2.313e+02,1.208e+03,4.192e+03,5.631e+03
166.7,2.852e+02,1.373e+03,5.138e+03,6.796e+03
168.2,3.332e+02,1.518e+03,6.658e+03,8.509e+03
169.6,4.075e+02,1.816e+03,8.688e+03,1.091e+04
171.1,5.679e+02,2.496e+03,1.374e+04,1.681e+04
172.6,8.578e+02,3.409e+03,2.255e+04,2.682e+04
174.1,1.092e+03,3.638e+03,2.902e+04,3.375e+04
175.6,1.225e+03,3.396e+03,3.281e+04,3.743e+04
177.1,1.219e+03,2.927e+03,3.313e+04,3.728e+04
178.6,1.184e+03,2.518e+03,3.156e+04,3.526e+04
180.1,1.198e+03,2.178e+03,3.052e+04,3.390e+04
181.6,1.148e+03,1.952e+03,2.861e+04,3.171e+04
183.0,1.041e+03,1.914e+03,2.595e+04,2.890e+04
184.5,8.406e+02,1.907e+03,2.195e+04,2.470e+04
186.0,6.546e+02,1.958e+03,1.815e+04,2.076e+04
187.5,5.032e+02,1.935e+03,1.485e+04,1.729e+04
189.0,3.758e+02,1.891e+03,1.223e+04,1.449e+04
190.5,2.718e+02,1.754e+03,9.984e+03,1.201e+04
192.0,2.092e+02,1.629e+03,8.331e+03,1.017e+04
193.5,1.733e+02,1.564e+03,6.480e+03,8.218e+03
194.9,1.655e+02,1.373e+03,5.066e+03,6.604e+03
196.4,1.589e+02,1.154e+03,3.714e+03,5.027e+03
197.9,1.500e+02,9.734e+02,2.715e+03,3.838e+03
199.4,1.637e+02,9.879e+02,2.100e+03,3.251e+03
